,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
1987,TXN_9695128,Cake,1.0,3.0,3.0,Cash,In-store,2023-12-21
1988,TXN_8700156,Tea,4.0,1.5,6.0,Credit Card,In-store,2023-12-25
1993,TXN_4371760,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-01-12
1997,TXN_3023841,Tea,3.0,1.5,4.5,Digital Wallet,Takeaway,2023-04-29
1998,TXN_8793244,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-05-08
2003,TXN_5448602,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-01-17
2004,TXN_1346517,Coffee,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-03-20
2005,TXN_9277534,Smoothie,2.0,4.0,8.0,Credit Card,In-store,2023-04-25
2010,TXN_6145837,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-08-27
2012,TXN_5067056,Sandwich,1.0,4.0,4.0,Cash,In-store,2023-08-13
2018,TXN_8626161,Smoothie,3.0,4.0,12.0,Digital Wallet,In-store,2023-11-23
2019,TXN_7099050,Salad,3.0,5.0,15.0,Credit Card,Takeaway,2023-01-18
2022,TXN_9565465,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-12-26
2023,TXN_6301600,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-02-28
2025,TXN_4784128,Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-08-27
2027,TXN_5560205,Coffee,3.0,2.0,6.0,Cash,In-store,2023-12-22
2031,TXN_6346774,Juice,3.0,3.0,9.0,Cash,In-store,UNKNOWN
2032,TXN_6119798,Salad,1.0,5.0,5.0,Credit Card,In-store,2023-09-19
2033,TXN_9793353,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-08-21
2038,TXN_2064360,Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-08-30
2040,TXN_7125392,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-07-05
2041,TXN_2564219,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-07-18
2044,TXN_4488222,Tea,3.0,1.5,4.5,Digital Wallet,Takeaway,2023-03-13
2046,TXN_9853577,Sandwich,2.0,4.0,8.0,Credit Card,In-store,2023-04-30
2051,TXN_1672443,Coffee,1.0,2.0,2.0,Credit Card,Takeaway,2023-10-03
2052,TXN_6277500,Coffee,4.0,2.0,8.0,Credit Card,Takeaway,2023-01-09
2053,TXN_6671827,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-08-09
2057,TXN_5894676,Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-06-17
2058,TXN_1411744,Smoothie,4.0,4.0,16.0,Credit Card,Takeaway,2023-09-17
2064,TXN_4030197,Salad,3.0,5.0,15.0,Credit Card,Takeaway,2023-03-05
2065,TXN_7276927,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-07-06
2066,TXN_3912836,Salad,1.0,5.0,5.0,Credit Card,In-store,2023-11-23
2067,TXN_3833729,Smoothie,4.0,4.0,16.0,Digital Wallet,In-store,2023-11-13
2068,TXN_7054393,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-05-30
2069,TXN_1395083,Juice,1.0,3.0,3.0,Cash,In-store,2023-07-08
2070,TXN_8784653,Smoothie,1.0,4.0,4.0,Cash,In-store,2023-09-12
2072,TXN_8308672,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-01-01
2073,TXN_3190959,Tea,2.0,1.5,3.0,Credit Card,Takeaway,2023-12-16
2086,TXN_6117497,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-02-13
2088,TXN_3818464,Cake,2.0,3.0,6.0,Cash,In-store,2023-03-02
2090,TXN_7694020,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-06
2096,TXN_7415686,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-04-13
2098,TXN_7231548,Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-11-06
2100,TXN_5956755,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-03-05
2107,TXN_7741256,Juice,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-04-24
2115,TXN_8002886,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-05-28
2117,TXN_7694491,Salad,3.0,5.0,15.0,Cash,In-store,2023-09-01
2122,TXN_2764962,Tea,2.0,1.5,3.0,Credit Card,Takeaway,2023-08-13
2123,TXN_5396727,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-10-13
2129,TXN_1491299,Juice,2.0,3.0,6.0,Credit Card,In-store,2023-02-27
2131,TXN_3277379,Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-01-06
2132,TXN_2568101,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-08-03
2133,TXN_3247340,Tea,3.0,1.5,4.5,Cash,Takeaway,2023-12-25
2141,TXN_4064245,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-02-20
2142,TXN_8777692,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-12-06
2144,TXN_6626427,Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-02-13
2149,TXN_4824773,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-06-06
2154,TXN_6364938,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-07-16
2157,TXN_4563646,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-10-10
2158,TXN_3596456,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,ERROR
2161,TXN_1738607,Juice,2.0,3.0,6.0,Credit Card,In-store,2023-01-17
2164,TXN_3927733,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-01-20
2166,TXN_9489176,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-01-10
2168,TXN_3061266,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-12-06
2170,TXN_7217284,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-29
2173,TXN_8397155,Salad,4.0,5.0,20.0,Credit Card,Takeaway,2023-08-16
2175,TXN_4301188,Smoothie,4.0,4.0,16.0,Credit Card,In-store,2023-12-23
2179,TXN_7865220,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-06-28
2182,TXN_9270865,Smoothie,2.0,4.0,8.0,Credit Card,Takeaway,2023-11-06
2186,TXN_1248436,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-08-14
2192,TXN_5413274,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-02-10
2193,TXN_5902629,Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-01-26
2195,TXN_6629689,Sandwich,2.0,4.0,8.0,Credit Card,In-store,2023-05-29
2206,TXN_2345373,Tea,3.0,1.5,4.5,Credit Card,Takeaway,2023-02-20
2215,TXN_1108663,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-08-16
2218,TXN_4959129,Juice,2.0,3.0,6.0,Credit Card,In-store,2023-06-24
2220,TXN_9587015,Salad,3.0,5.0,15.0,Digital Wallet,In-store,2023-06-25
2225,TXN_6915899,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-05-29
2226,TXN_6211466,Tea,2.0,1.5,3.0,Cash,In-store,2023-09-12
2228,TXN_5198524,Cake,1.0,3.0,3.0,Credit Card,In-store,2023-06-14
2231,TXN_6786340,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-04-18
2232,TXN_8689246,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-05-16
2248,TXN_1730850,Juice,2.0,3.0,6.0,Cash,Takeaway,2023-12-15
2253,TXN_9833245,Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-04-30
2256,TXN_7944534,Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-10-13
2264,TXN_8792638,Tea,3.0,1.5,4.5,Credit Card,Takeaway,2023-07-02
2265,TXN_7397665,Salad,5.0,5.0,25.0,Credit Card,Takeaway,2023-11-11
2266,TXN_3493951,Smoothie,5.0,4.0,20.0,Cash,Takeaway,2023-08-20
2288,TXN_8878830,Coffee,4.0,2.0,8.0,Credit Card,Takeaway,2023-10-11
2291,TXN_3303114,Salad,4.0,5.0,20.0,Credit Card,In-store,2023-06-18
2292,TXN_2106437,Tea,1.0,1.5,1.5,Cash,Takeaway,2023-08-01
2293,TXN_2291713,Salad,4.0,5.0,20.0,Cash,In-store,2023-08-06
2306,TXN_6725579,Tea,2.0,1.5,3.0,Credit Card,Takeaway,2023-02-21
2309,TXN_6845225,Tea,4.0,1.5,6.0,Credit Card,Takeaway,2023-02-21
2314,TXN_9798525,Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-11-05
2315,TXN_4974012,Sandwich,5.0,4.0,20.0,Cash,Takeaway,2023-05-17
2317,TXN_1482123,Coffee,1.0,2.0,2.0,Cash,In-store,2023-06-17
2318,TXN_5622313,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-01-07
2321,TXN_6249754,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-10-21
2322,TXN_9729280,Tea,3.0,1.5,4.5,Credit Card,In-store,2023-11-06
2325,TXN_1045022,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-10-13
2329,TXN_4598397,Coffee,4.0,2.0,8.0,Cash,Takeaway,2023-09-13
2331,TXN_9186913,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-10-16
2332,TXN_9507002,Smoothie,1.0,4.0,4.0,Cash,Takeaway,2023-05-08
2333,TXN_4423218,Cookie,3.0,1.0,3.0,Cash,In-store,2023-05-29
2334,TXN_4851339,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-02-01
2335,TXN_3274105,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-07-28
2336,TXN_2810280,Smoothie,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-06-25
2341,TXN_8611913,Tea,5.0,1.5,7.5,Digital Wallet,In-store,2023-07-16
2342,TXN_7387701,Coffee,1.0,2.0,2.0,Cash,Takeaway,UNKNOWN
2350,TXN_9947479,Smoothie,5.0,4.0,20.0,Cash,Takeaway,2023-09-27
2351,TXN_6403859,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-03-06
2354,TXN_9747008,Tea,4.0,1.5,6.0,Cash,Takeaway,ERROR
2355,TXN_9703722,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-01-11
2357,TXN_6119081,Coffee,2.0,2.0,4.0,Cash,In-store,2023-09-27
2358,TXN_4811887,Cake,2.0,3.0,6.0,Cash,In-store,2023-02-11
2359,TXN_9587814,Juice,3.0,3.0,9.0,Cash,In-store,2023-01-25
2362,TXN_7946450,Smoothie,1.0,4.0,4.0,Credit Card,In-store,2023-07-15
2367,TXN_7852397,Tea,3.0,1.5,4.5,Cash,In-store,2023-08-10
2370,TXN_2982995,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-04-06
2377,TXN_4223265,Cake,5.0,3.0,15.0,Digital Wallet,In-store,2023-06-06
2379,TXN_6491662,Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-10-06
2381,TXN_9500986,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-05-10
2383,TXN_9137801,Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-06-10
2386,TXN_6092344,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-12-04
2388,TXN_8110646,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-07
2392,TXN_6336973,Coffee,4.0,2.0,8.0,Digital Wallet,Takeaway,2023-03-21
2393,TXN_5609260,Cookie,5.0,1.0,5.0,Digital Wallet,In-store,2023-05-02
2396,TXN_6097706,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-02-15
2400,TXN_2047672,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-01-25
2401,TXN_6893490,Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-03-17
2403,TXN_6851654,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-01-25
2408,TXN_5889912,Salad,1.0,5.0,5.0,Cash,In-store,2023-09-26
2410,TXN_3720223,Cake,4.0,3.0,12.0,Cash,Takeaway,2023-10-22
2414,TXN_2726676,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-08-10
2415,TXN_4011694,Coffee,1.0,2.0,2.0,Credit Card,In-store,2023-09-02
2417,TXN_3558795,Smoothie,1.0,4.0,4.0,Cash,In-store,2023-05-30
2428,TXN_4139983,Tea,5.0,1.5,7.5,Cash,Takeaway,2023-10-16
2441,TXN_2935871,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-07-07
2449,TXN_8284910,Smoothie,1.0,4.0,4.0,Cash,In-store,2023-07-19
2451,TXN_2123573,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-01-09
2452,TXN_8036176,Cookie,4.0,1.0,4.0,Credit Card,Takeaway,2023-06-20
2454,TXN_2490185,Salad,4.0,5.0,20.0,Credit Card,In-store,2023-12-18
2455,TXN_6295420,Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-09-27
2456,TXN_1542042,Cake,4.0,3.0,12.0,Credit Card,Takeaway,2023-07-26
2458,TXN_6579109,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-02-22
2459,TXN_5577030,Cookie,4.0,1.0,4.0,Digital Wallet,Takeaway,2023-02-15
2460,TXN_3910230,Sandwich,5.0,4.0,20.0,Cash,Takeaway,2023-01-05
2462,TXN_6928775,Cookie,2.0,1.0,2.0,Cash,In-store,2023-03-25
2466,TXN_9861782,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-07-15
2469,TXN_6112765,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-07-21
2472,TXN_2847831,Coffee,1.0,2.0,2.0,Cash,In-store,2023-02-19
2473,TXN_3385167,Tea,3.0,1.5,4.5,Cash,In-store,2023-04-26
2474,TXN_1938071,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-12-25
2476,TXN_4887268,Salad,1.0,5.0,5.0,Credit Card,In-store,2023-10-16
2478,TXN_6651961,Salad,4.0,5.0,20.0,Credit Card,In-store,2023-02-08
2481,TXN_5604797,Coffee,1.0,2.0,2.0,Cash,In-store,2023-10-13
2482,TXN_6303383,Cake,4.0,3.0,12.0,Digital Wallet,In-store,2023-09-22
2484,TXN_7059722,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,ERROR
2485,TXN_5403707,Smoothie,3.0,4.0,12.0,Cash,In-store,2023-03-20
2486,TXN_4084052,Juice,2.0,3.0,6.0,Digital Wallet,In-store,2023-06-30
2489,TXN_7113656,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-01-22
2493,TXN_3226989,Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-04-17
2495,TXN_8751289,Tea,2.0,1.5,3.0,Cash,In-store,2023-09-10
2496,TXN_9996195,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-03-16
2498,TXN_4243591,Cake,4.0,3.0,12.0,Credit Card,In-store,2023-10-11
2499,TXN_4138399,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-07-03
2500,TXN_1724233,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-02-01
2501,TXN_1564506,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-02-01
2505,TXN_7622389,Tea,4.0,1.5,6.0,Digital Wallet,In-store,2023-02-26
2507,TXN_2204457,Coffee,4.0,2.0,8.0,Cash,Takeaway,2023-01-06
2509,TXN_9042043,Cookie,4.0,1.0,4.0,Cash,Takeaway,ERROR
2510,TXN_7503593,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-04-19
2513,TXN_5589433,Cake,2.0,3.0,6.0,Cash,In-store,2023-03-13
2517,TXN_8043642,Salad,4.0,5.0,20.0,Cash,In-store,2023-06-12
2526,TXN_3365018,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-02-06
2528,TXN_4592205,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-12-30
2529,TXN_6660755,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-05-16
2530,TXN_3750900,Tea,2.0,1.5,3.0,Credit Card,In-store,2023-04-03
2531,TXN_3290872,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-06-13
2532,TXN_6378158,Salad,5.0,5.0,25.0,Credit Card,In-store,2023-06-17
2535,TXN_1145592,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-09-11
2537,TXN_9485101,Cookie,2.0,1.0,2.0,Cash,Takeaway,2023-11-01
2538,TXN_9667219,Juice,4.0,3.0,12.0,Cash,In-store,2023-10-09
2539,TXN_3119835,Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-03-01
2541,TXN_7014091,Coffee,5.0,2.0,10.0,Cash,In-store,2023-11-26
2548,TXN_9911498,Coffee,4.0,2.0,8.0,Cash,In-store,2023-03-27
2553,TXN_9865855,Coffee,3.0,2.0,6.0,Digital Wallet,Takeaway,2023-04-18
2554,TXN_2217295,Juice,4.0,3.0,12.0,Credit Card,In-store,2023-11-22
2555,TXN_8913492,Sandwich,4.0,4.0,16.0,Credit Card,In-store,2023-12-25
2556,TXN_5625086,Sandwich,1.0,4.0,4.0,Credit Card,In-store,2023-06-17
2561,TXN_1009421,Cookie,4.0,1.0,4.0,Cash,Takeaway,2023-02-21
2562,TXN_5369243,Smoothie,4.0,4.0,16.0,Cash,Takeaway,2023-11-16
2574,TXN_5475746,Cake,3.0,3.0,9.0,Credit Card,In-store,2023-08-20
2575,TXN_6071339,Coffee,5.0,2.0,10.0,Cash,Takeaway,2023-10-17
2576,TXN_9540864,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-07
2577,TXN_6389404,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-11-20
2584,TXN_3499226,Juice,1.0,3.0,3.0,Credit Card,Takeaway,2023-09-08
2589,TXN_1324760,Tea,4.0,1.5,6.0,Cash,In-store,2023-01-18
2590,TXN_8292441,Salad,1.0,5.0,5.0,Cash,Takeaway,2023-09-15
2593,TXN_3792125,Salad,5.0,5.0,25.0,Credit Card,In-store,2023-08-25
2595,TXN_8608811,Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-01-05
2596,TXN_4844386,Juice,5.0,3.0,15.0,Credit Card,In-store,2023-10-28
2597,TXN_4368729,Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-06-11
2598,TXN_5072156,Tea,3.0,1.5,4.5,Digital Wallet,Takeaway,2023-07-24
2600,TXN_4877933,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-01-12
2601,TXN_8854384,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-08-12
2604,TXN_5644235,Salad,4.0,5.0,20.0,Cash,In-store,2023-03-25
2607,TXN_1214868,Juice,4.0,3.0,12.0,Cash,In-store,2023-07-30
2608,TXN_5117595,Smoothie,4.0,4.0,16.0,Cash,In-store,2023-02-05
2610,TXN_8266689,Juice,5.0,3.0,15.0,Cash,In-store,2023-12-03
2616,TXN_4356564,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-10-05
2619,TXN_6762250,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-06-17
2620,TXN_8553273,Juice,5.0,3.0,15.0,Cash,In-store,2023-01-15
2623,TXN_2432379,Coffee,1.0,2.0,2.0,Credit Card,In-store,2023-10-24
2628,TXN_2155393,Juice,2.0,3.0,6.0,Digital Wallet,In-store,2023-07-12
2634,TXN_2544724,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-12-28
2635,TXN_1035504,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-03-30
2638,TXN_9781961,Coffee,1.0,2.0,2.0,Credit Card,In-store,2023-12-01
2639,TXN_5313347,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-12-10
2649,TXN_8907996,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-02-19
2652,TXN_5348915,Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-07-09
2654,TXN_6323914,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-03-19
2655,TXN_7804128,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-02-12
2659,TXN_2210265,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-14
2660,TXN_5534515,Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-02-09
2661,TXN_9561380,Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-08-11
2662,TXN_3038078,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-04-06
2667,TXN_9749175,Cake,1.0,3.0,3.0,Credit Card,In-store,2023-09-07
2670,TXN_3703964,Sandwich,2.0,4.0,8.0,Credit Card,Takeaway,2023-09-23
2678,TXN_9202496,Cake,5.0,3.0,15.0,Credit Card,In-store,2023-07-19
2679,TXN_2914953,Cake,2.0,3.0,6.0,Cash,In-store,2023-07-25
2681,TXN_1216051,Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-10-28
2686,TXN_3358494,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-06-22
2689,TXN_1324968,Cookie,3.0,1.0,3.0,Credit Card,In-store,2023-01-05
2691,TXN_3985920,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-03-29
2692,TXN_7335526,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-06-03
2695,TXN_2408294,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-12-26
2696,TXN_7380756,Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-10-16
2699,TXN_1315214,Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-11-03
2700,TXN_7602467,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-17
2702,TXN_4979250,Tea,3.0,1.5,4.5,Cash,In-store,2023-11-01
2703,TXN_2809397,Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-09-13
2704,TXN_8752130,Juice,2.0,3.0,6.0,Credit Card,Takeaway,2023-10-23
2712,TXN_5353855,Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-12-24
2713,TXN_3106811,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-09-27
2716,TXN_6309965,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-06-14
2719,TXN_6954434,Juice,3.0,3.0,9.0,Cash,Takeaway,2023-02-23
2722,TXN_9207050,Cookie,5.0,1.0,5.0,Digital Wallet,In-store,2023-07-21
2725,TXN_1938148,Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-06-07
2726,TXN_2024598,Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-01-01
2727,TXN_7145872,Salad,5.0,5.0,25.0,Digital Wallet,Takeaway,2023-04-15
2730,TXN_9004306,Coffee,4.0,2.0,8.0,Credit Card,In-store,2023-05-26
2733,TXN_6360436,Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-13
2735,TXN_5822344,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-09-27
2744,TXN_9773606,Tea,2.0,1.5,3.0,Cash,Takeaway,2023-12-04
2745,TXN_9762035,Smoothie,1.0,4.0,4.0,Cash,Takeaway,2023-08-21
2749,TXN_9657636,Cake,1.0,3.0,3.0,Cash,Takeaway,2023-07-08
2750,TXN_1375992,Coffee,5.0,2.0,10.0,Credit Card,In-store,2023-03-23
2751,TXN_2077318,Juice,2.0,3.0,6.0,Digital Wallet,In-store,2023-08-24
2756,TXN_9096951,Smoothie,3.0,4.0,12.0,Cash,Takeaway,2023-06-28
2762,TXN_7090165,Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-08-30
2763,TXN_9533792,Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-09-01
2769,TXN_2849719,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-06-23
2770,TXN_9623460,Sandwich,3.0,4.0,12.0,Digital Wallet,In-store,2023-01-17
2771,TXN_3359704,Salad,3.0,5.0,15.0,Digital Wallet,In-store,2023-07-23
2773,TXN_2444408,Sandwich,2.0,4.0,8.0,Digital Wallet,In-store,2023-05-11
2775,TXN_3296152,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-10-20
2777,TXN_2887411,Smoothie,2.0,4.0,8.0,Cash,In-store,2023-01-16
2778,TXN_7543369,Tea,5.0,1.5,7.5,Digital Wallet,Takeaway,2023-11-18
2779,TXN_9561441,Tea,5.0,1.5,7.5,Cash,In-store,2023-11-11
2782,TXN_3633955,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-09-20
2783,TXN_2761949,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-10-01
2785,TXN_8062897,Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-02
2792,TXN_6866209,Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-05-20
2794,TXN_9681880,Coffee,3.0,2.0,6.0,Cash,In-store,2023-03-21
2797,TXN_2936975,Tea,1.0,1.5,1.5,Digital Wallet,Takeaway,2023-10-05
2798,TXN_5027125,Salad,3.0,5.0,15.0,Cash,In-store,2023-07-06
2800,TXN_2092288,Coffee,1.0,2.0,2.0,Credit Card,Takeaway,2023-03-30
2801,TXN_5701303,Coffee,1.0,2.0,2.0,Digital Wallet,Takeaway,2023-09-08
2803,TXN_5161371,Cake,2.0,3.0,6.0,Credit Card,In-store,2023-01-17
2804,TXN_6228918,Cake,1.0,3.0,3.0,Digital Wallet,In-store,UNKNOWN
2807,TXN_1719440,Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-07-13
2812,TXN_3729074,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-04-15
2814,TXN_7217537,Salad,3.0,5.0,15.0,Cash,In-store,2023-12-19
2816,TXN_8845592,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-11-12
2819,TXN_5664467,Tea,4.0,1.5,6.0,Digital Wallet,Takeaway,2023-11-06
2823,TXN_2680626,Cake,3.0,3.0,9.0,Cash,In-store,2023-01-08
2826,TXN_5009367,Juice,3.0,3.0,9.0,Credit Card,In-store,2023-04-19
2829,TXN_6401072,Smoothie,4.0,4.0,16.0,Cash,Takeaway,2023-07-28
2833,TXN_8684125,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-03-08
2835,TXN_9769782,Smoothie,5.0,4.0,20.0,Cash,Takeaway,ERROR
2836,TXN_8167808,Cake,3.0,3.0,9.0,Cash,In-store,2023-02-03
2840,TXN_7753587,Cake,1.0,3.0,3.0,Credit Card,Takeaway,2023-03-28
2843,TXN_8242126,Salad,4.0,5.0,20.0,Digital Wallet,In-store,2023-11-20
2845,TXN_5685028,Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-08-12
2847,TXN_9245124,Tea,4.0,1.5,6.0,Digital Wallet,In-store,2023-04-19
2848,TXN_8619762,Smoothie,4.0,4.0,16.0,Cash,Takeaway,2023-08-05
2849,TXN_5983031,Juice,3.0,3.0,9.0,Digital Wallet,In-store,2023-03-09
2868,TXN_7368648,Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-03-09
2871,TXN_1217959,Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-07-28
2874,TXN_5171332,Tea,5.0,1.5,7.5,Cash,Takeaway,2023-02-05
2878,TXN_7840162,Cookie,5.0,1.0,5.0,Cash,Takeaway,2023-02-27
2879,TXN_9069297,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-01-27
2882,TXN_1678985,Juice,2.0,3.0,6.0,Cash,In-store,2023-07-16
